artefact,reviewer,information_hierarchy,data_density,labeling_and_context,colour_and_encoding,layout_and_grouping,table_chart_readability,alert_threshold_visibility,completeness,overall
artefact-008,3,7.0,9.0,8.0,9.0,8.0,8.0,9.0,5.0,7.9
artefact-009,1,8.0,9.0,6.0,9.0,8.0,8.0,9.0,5.0,7.75
artefact-009,2,9.0,9.0,8.0,9.0,8.0,7.0,9.0,6.0,8.1
artefact-009,3,6.0,8.0,5.0,8.0,8.0,7.0,9.0,4.0,6.9
artefact-010,1,7.0,9.0,9.0,9.0,7.0,8.0,10.0,6.0,8.1
artefact-010,2,9.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,8.8
artefact-010,3,8.0,10.0,10.0,10.0,9.0,9.0,10.0,6.0,9.0
artefact-011,1,9.0,9.0,8.0,7.0,9.0,7.0,10.0,10.0,8.6
artefact-011,2,9.0,9.0,9.0,7.0,9.0,7.0,9.0,10.0,8.6
artefact-011,3,8.0,9.0,7.0,9.0,8.0,9.0,9.0,6.0,8.1
artefact-012,1,9.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,8.75
artefact-012,2,9.0,9.0,7.0,9.0,10.0,8.0,10.0,10.0,9.0
artefact-012,3,9.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,8.9
artefact-013,1,9.0,8.0,9.0,7.0,9.0,9.0,10.0,7.0,8.5
artefact-013,2,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,8.5
artefact-013,3,8.0,7.0,6.0,8.0,6.0,9.0,10.0,4.0,7.25
artefact-014,1,9.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,8.5
artefact-014,2,9.0,8.0,9.0,7.0,8.0,8.0,9.0,6.0,8.0
artefact-014,3,9.0,8.0,9.0,8.0,7.0,9.0,9.0,6.0,8.1
artefact-015,1,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.1
artefact-015,2,6.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,8.6
artefact-015,3,9.0,9.0,7.0,10.0,9.0,8.0,10.0,10.0,9.0
artefact-016,1,9.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.25
artefact-016,2,7.0,9.0,9.0,9.0,6.0,7.0,9.0,10.0,8.3
artefact-016,3,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.5
artefact-017,1,7.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,8.6
artefact-017,2,6.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,8.6
artefact-017,3,7.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.75
artefact-018,1,9.0,7.0,9.0,8.0,9.0,7.0,10.0,10.0,8.6
artefact-018,2,7.0,9.0,8.0,6.0,9.0,8.0,9.0,10.0,8.3
artefact-018,3,9.0,8.0,9.0,9.0,9.0,7.0,10.0,10.0,8.9
artefact-019,1,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.5
artefact-019,2,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.4
artefact-019,3,9.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.4
artefact-020,1,5.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,8.4
artefact-020,2,9.0,9.0,7.0,8.0,8.0,8.0,10.0,10.0,8.6
artefact-020,3,9.0,9.0,8.0,7.0,9.0,8.0,10.0,10.0,8.75
artefact-021,1,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,8.75
artefact-021,2,9.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0
artefact-021,3,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.9
artefact-022,1,8.0,8.0,9.0,9.0,9.0,9.0,9.0,4.0,8.1
artefact-022,2,9.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,8.6
artefact-022,3,5.0,9.0,8.0,7.0,8.0,9.0,8.0,4.0,7.25
artefact-023,1,7.0,9.0,8.0,10.0,7.0,9.0,10.0,10.0,8.75
artefact-023,2,7.0,9.0,9.0,10.0,7.0,9.0,10.0,10.0,8.9
artefact-023,3,7.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,8.25
artefact-024,1,9.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,9.1
artefact-024,2,8.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,8.5
artefact-024,3,7.0,9.0,9.0,9.0,8.0,7.0,9.0,10.0,8.5
artefact-025,1,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.9
artefact-025,2,9.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,8.5
artefact-025,3,9.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.9
artefact-026,1,9.0,9.0,9.0,9.0,9.0,7.0,10.0,4.0,8.25
artefact-026,2,9.0,9.0,9.0,8.0,9.0,6.0,9.0,5.0,8.0
artefact-026,3,9.0,9.0,9.0,9.0,9.0,8.0,9.0,5.0,8.4
artefact-027,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,6.0,8.0
artefact-027,2,9.0,9.0,8.0,9.0,9.0,9.0,10.0,6.0,8.6
artefact-027,3,9.0,9.0,8.0,9.0,9.0,8.0,10.0,5.0,8.4
artefact-028,1,9.0,9.0,8.0,9.0,9.0,7.0,9.0,6.0,8.3
artefact-028,2,9.0,9.0,10.0,7.0,8.0,9.0,9.0,6.0,8.4
artefact-028,3,8.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,8.4
artefact-029,1,8.0,9.0,9.0,8.0,9.0,8.0,9.0,6.0,8.25
artefact-029,2,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.1
artefact-029,3,9.0,9.0,9.0,8.0,8.0,9.0,10.0,6.0,8.5
artefact-030,1,9.0,8.0,9.0,9.0,8.0,7.0,9.0,10.0,8.6
artefact-030,2,10.0,9.0,9.0,8.0,9.0,7.0,10.0,10.0,9.0
artefact-030,3,9.0,8.0,9.0,7.0,9.0,8.0,9.0,10.0,8.6
artefact-031,1,8.0,9.0,7.0,10.0,7.0,8.0,10.0,9.0,8.5
artefact-031,2,9.0,9.0,7.0,9.0,8.0,7.0,9.0,10.0,8.5
artefact-031,3,9.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,9.3
artefact-032,1,7.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,7.9
artefact-032,2,9.0,8.0,10.0,8.0,9.0,9.0,10.0,6.0,8.6
artefact-032,3,9.0,8.0,9.0,8.0,8.0,9.0,9.0,6.0,8.3
artefact-033,1,9.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0
artefact-033,2,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.6
artefact-033,3,9.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.4
artefact-034,1,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.9
artefact-034,2,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,8.3
artefact-034,3,8.0,9.0,8.0,9.0,8.0,8.0,9.0,6.0,8.1
artefact-035,1,8.0,9.0,7.0,9.0,8.0,9.0,9.0,5.0,8.0
artefact-035,2,8.0,9.0,7.0,9.0,9.0,8.0,9.0,6.0,8.1
artefact-035,3,8.0,9.0,7.0,7.0,8.0,8.0,9.0,5.0,7.6
artefact-036,1,8.0,9.0,5.0,9.0,8.0,9.0,9.0,7.0,8.0
artefact-036,2,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.6
artefact-036,3,9.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.5
artefact-037,1,9.0,9.0,6.0,9.0,8.0,9.0,10.0,10.0,8.8
artefact-037,2,8.0,9.0,6.0,7.0,9.0,8.0,9.0,9.0,8.1
artefact-037,3,9.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,8.9
artefact-038,1,9.0,9.0,8.0,9.0,9.0,9.0,10.0,6.0,8.6
artefact-038,2,8.0,9.0,7.0,7.0,9.0,7.0,9.0,5.0,7.6
artefact-038,3,9.0,9.0,8.0,9.0,9.0,8.0,10.0,6.0,8.5
artefact-039,1,9.0,9.0,8.0,10.0,8.0,7.0,10.0,5.0,8.25
artefact-039,2,8.0,9.0,7.0,9.0,9.0,8.0,10.0,5.0,8.1
artefact-039,3,8.0,9.0,6.0,9.0,9.0,8.0,10.0,6.0,8.1
artefact-040,1,9.0,9.0,9.0,9.0,8.0,9.0,10.0,5.0,8.5
artefact-040,2,8.0,8.0,8.0,9.0,7.0,9.0,9.0,5.0,7.9
artefact-040,3,9.0,9.0,8.0,8.0,8.0,9.0,9.0,5.0,8.1
artefact-041,1,9.0,10.0,8.0,10.0,9.0,9.0,10.0,7.0,9.0
artefact-041,2,10.0,9.0,8.0,10.0,9.0,8.0,10.0,7.0,8.9
artefact-041,3,9.0,9.0,8.0,9.0,9.0,7.0,10.0,6.0,8.4
artefact-042,1,9.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,8.1
artefact-042,2,9.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,8.75
artefact-042,3,9.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,8.4
artefact-043,1,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.75
artefact-043,2,7.0,9.0,9.0,9.0,7.0,9.0,10.0,10.0,8.8
artefact-043,3,9.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,8.25
artefact-044,1,7.0,8.0,8.0,9.0,8.0,8.0,9.0,5.0,7.75
artefact-044,2,9.0,9.0,7.0,9.0,8.0,7.0,9.0,4.0,7.75
artefact-044,3,8.0,9.0,9.0,9.0,8.0,8.0,9.0,5.0,8.1
artefact-045,1,9.0,9.0,7.0,9.0,8.0,7.0,9.0,5.0,7.9
artefact-045,2,9.0,9.0,8.0,9.0,9.0,7.0,9.0,6.0,8.25
artefact-045,3,7.0,9.0,8.0,9.0,9.0,6.0,9.0,7.0,8.0
artefact-046,1,8.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,8.9
artefact-046,2,9.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,8.8
artefact-046,3,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,9.4
artefact-047,1,9.0,9.0,10.0,9.0,8.0,8.0,10.0,6.0,8.6
artefact-047,2,9.0,9.0,8.0,9.0,7.0,8.0,10.0,7.0,8.4
artefact-047,3,9.0,9.0,8.0,9.0,8.0,6.0,9.0,10.0,8.5
artefact-048,1,7.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.9
artefact-048,2,8.0,9.0,6.0,9.0,8.0,7.0,9.0,10.0,8.25
artefact-048,3,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.25
artefact-049,1,9.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,9.1
artefact-049,2,9.0,9.0,10.0,7.0,9.0,9.0,10.0,10.0,9.1
artefact-049,3,9.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,9.1
artefact-050,1,9.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,8.75
artefact-050,2,8.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,8.75
artefact-050,3,9.0,9.0,8.0,6.0,9.0,8.0,9.0,10.0,8.5
artefact-051,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,5.0,7.9
artefact-051,2,9.0,9.0,8.0,9.0,8.0,7.0,9.0,4.0,7.9
artefact-051,3,9.0,8.0,9.0,7.0,9.0,7.0,9.0,6.0,8.0
artefact-052,1,9.0,8.0,9.0,9.0,10.0,9.0,9.0,5.0,8.5
artefact-052,2,9.0,9.0,9.0,9.0,9.0,8.0,9.0,5.0,8.4
artefact-052,3,9.0,9.0,10.0,9.0,10.0,9.0,10.0,7.0,9.1
artefact-053,1,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.1
artefact-053,2,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,8.75
artefact-053,3,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.25
artefact-054,1,9.0,9.0,7.0,9.0,8.0,9.0,9.0,5.0,8.1
artefact-054,2,9.0,9.0,9.0,9.0,8.0,8.0,9.0,6.0,8.4
artefact-054,3,9.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,8.4
artefact-055,1,9.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,8.4
artefact-055,2,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,8.4
artefact-055,3,9.0,9.0,8.0,7.0,8.0,9.0,9.0,7.0,8.25
artefact-056,1,9.0,8.0,10.0,9.0,8.0,7.0,9.0,10.0,8.75
artefact-056,2,8.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0
artefact-056,3,8.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0,8.9
artefact-057,1,9.0,8.0,7.0,7.0,8.0,8.0,9.0,6.0,7.75
artefact-057,2,9.0,8.0,9.0,7.0,9.0,8.0,10.0,6.0,8.25
artefact-057,3,9.0,8.0,9.0,9.0,8.0,7.0,9.0,6.0,8.1
artefact-058,1,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.6
artefact-058,2,9.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0
artefact-058,3,8.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,8.5
artefact-059,1,9.0,9.0,8.0,7.0,9.0,8.0,10.0,6.0,8.25
artefact-059,2,9.0,8.0,8.0,9.0,8.0,8.0,10.0,6.0,8.25
artefact-059,3,9.0,8.0,8.0,4.0,9.0,8.0,9.0,5.0,7.5
artefact-060,1,9.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,8.75
artefact-060,2,9.0,9.0,7.0,8.0,9.0,9.0,9.0,6.0,8.25
artefact-060,3,9.0,8.0,7.0,7.0,8.0,9.0,7.0,5.0,7.5
