artefact,reviewer,data_ink_ratio,chartjunk_absence,chart_type_appropriateness,alert_by_exception,var_risk_metrics,greeks_sensitivity,message_driven_structure,labelling_economy,data_formatting,semantic_colour,completeness,overall
artefact-026,2,10.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0,9.4
artefact-026,3,9.0,10.0,9.0,10.0,8.0,6.0,10.0,9.0,10.0,10.0,6.0,8.8
artefact-027,1,10.0,10.0,10.0,10.0,9.0,6.0,6.0,9.0,10.0,10.0,8.0,8.9
artefact-027,2,9.0,10.0,10.0,9.0,8.0,6.0,5.0,8.0,9.0,9.0,7.0,8.2
artefact-027,3,9.0,10.0,10.0,9.0,9.0,6.0,5.0,9.0,10.0,10.0,6.0,8.5
artefact-028,1,9.0,10.0,8.0,9.0,9.0,7.0,5.0,9.0,9.0,6.0,6.0,7.9
artefact-028,2,9.0,9.0,9.0,7.0,8.0,9.0,5.0,9.0,9.0,6.0,7.0,7.9
artefact-028,3,9.0,9.0,9.0,7.0,9.0,9.0,6.0,9.0,9.0,6.0,7.0,8.1
artefact-029,1,10.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0,9.27
artefact-029,2,9.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,7.0,10.0,10.0,9.2
artefact-029,3,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.7
artefact-030,1,8.0,9.0,9.0,8.0,9.0,10.0,6.0,9.0,9.0,8.0,10.0,8.6
artefact-030,2,8.0,9.0,10.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,10.0,9.0
artefact-030,3,8.0,9.0,9.0,9.0,10.0,10.0,6.0,7.0,9.0,9.0,10.0,8.7
artefact-031,1,9.0,10.0,10.0,10.0,6.0,6.0,5.0,7.0,9.0,10.0,10.0,8.36
artefact-031,2,9.0,10.0,10.0,9.0,8.0,6.0,5.0,8.0,10.0,10.0,10.0,8.6
artefact-031,3,9.0,10.0,10.0,10.0,7.0,7.0,5.0,9.0,10.0,10.0,10.0,8.8
artefact-032,1,9.0,10.0,10.0,9.0,8.0,9.0,6.0,9.0,9.0,10.0,8.0,8.8
artefact-032,2,9.0,10.0,9.0,9.0,10.0,9.0,6.0,9.0,9.0,9.0,7.0,8.7
artefact-032,3,9.0,9.0,9.0,10.0,8.0,10.0,5.0,8.0,9.0,7.0,10.0,8.5
artefact-033,1,9.0,10.0,10.0,9.0,7.0,8.0,10.0,9.0,10.0,9.0,10.0,9.2
artefact-033,2,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.6
artefact-033,3,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.5
artefact-034,1,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,7.0,9.36
artefact-034,2,10.0,10.0,10.0,10.0,7.0,10.0,10.0,9.0,10.0,10.0,10.0,9.6
artefact-034,3,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.6
artefact-035,1,9.0,10.0,10.0,9.0,6.0,7.0,5.0,9.0,9.0,10.0,7.0,8.27
artefact-035,2,9.0,10.0,10.0,9.0,7.0,6.0,6.0,9.0,10.0,10.0,10.0,8.7
artefact-035,3,9.0,10.0,9.0,9.0,7.0,9.0,4.0,9.0,9.0,10.0,7.0,8.4
artefact-036,1,10.0,10.0,10.0,10.0,8.0,4.0,4.0,8.0,10.0,10.0,8.0,8.4
artefact-036,2,9.0,10.0,10.0,9.0,8.0,6.0,5.0,8.0,10.0,10.0,9.0,8.5
artefact-036,3,9.0,10.0,10.0,9.0,9.0,4.0,4.0,8.0,10.0,10.0,7.0,8.2
artefact-037,1,9.0,10.0,10.0,10.0,7.0,8.0,4.0,9.0,10.0,10.0,10.0,8.8
artefact-037,2,10.0,10.0,10.0,10.0,9.0,10.0,5.0,7.0,10.0,10.0,10.0,9.2
artefact-037,3,9.0,10.0,10.0,10.0,8.0,9.0,5.0,9.0,10.0,10.0,10.0,9.1
artefact-038,1,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,9.4
artefact-038,2,10.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,7.0,9.3
artefact-038,3,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,9.45
artefact-039,1,10.0,10.0,10.0,10.0,8.0,6.0,10.0,8.0,10.0,10.0,8.0,9.1
artefact-039,2,9.0,10.0,10.0,10.0,10.0,6.0,10.0,7.0,9.0,10.0,7.0,8.9
artefact-039,3,9.0,10.0,10.0,10.0,9.0,7.0,10.0,7.0,10.0,10.0,7.0,9.0
artefact-040,1,10.0,10.0,10.0,10.0,8.0,7.0,5.0,9.0,10.0,9.0,7.0,8.6
artefact-040,2,9.0,10.0,10.0,9.0,8.0,7.0,5.0,9.0,9.0,10.0,6.0,8.36
artefact-040,3,9.0,10.0,10.0,10.0,8.0,8.0,6.0,9.0,10.0,9.0,6.0,8.6
artefact-041,1,10.0,10.0,10.0,10.0,8.0,5.0,10.0,8.0,10.0,10.0,8.0,9.0
artefact-041,2,9.0,10.0,10.0,9.0,7.0,5.0,10.0,8.0,9.0,10.0,6.0,8.5
artefact-041,3,10.0,10.0,10.0,10.0,8.0,4.0,8.0,9.0,10.0,10.0,7.0,8.7
artefact-042,1,9.0,10.0,10.0,9.0,8.0,7.0,6.0,9.0,10.0,9.0,10.0,8.8
artefact-042,2,9.0,10.0,10.0,9.0,9.0,10.0,5.0,9.0,10.0,9.0,8.0,8.9
artefact-042,3,9.0,10.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,8.0,8.7
artefact-043,1,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.8
artefact-043,2,10.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.5
artefact-043,3,9.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,9.1
artefact-044,1,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,6.0,9.3
artefact-044,2,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,6.0,9.3
artefact-044,3,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,9.4
artefact-045,1,9.0,10.0,10.0,10.0,8.0,6.0,10.0,8.0,10.0,10.0,8.0,9.0
artefact-045,2,10.0,10.0,10.0,10.0,10.0,7.0,10.0,9.0,10.0,10.0,8.0,9.45
artefact-045,3,9.0,10.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,7.0,8.9
artefact-046,1,9.0,10.0,8.0,7.0,9.0,9.0,5.0,9.0,10.0,7.0,10.0,8.5
artefact-046,2,9.0,10.0,8.0,8.0,8.0,9.0,5.0,9.0,10.0,4.0,10.0,8.2
artefact-046,3,9.0,10.0,8.0,9.0,9.0,10.0,6.0,9.0,10.0,6.0,10.0,8.7
artefact-047,1,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,7.0,9.1
artefact-047,2,10.0,10.0,10.0,9.0,9.0,6.0,10.0,8.0,10.0,10.0,10.0,9.3
artefact-047,3,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,7.0,9.18
artefact-048,1,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,9.6
artefact-048,2,10.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,9.3
artefact-048,3,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.8
artefact-049,1,9.0,9.0,8.0,6.0,8.0,10.0,6.0,8.0,9.0,5.0,10.0,8.0
artefact-049,2,9.0,9.0,8.0,7.0,8.0,9.0,5.0,7.0,9.0,5.0,10.0,7.8
artefact-049,3,9.0,9.0,7.0,9.0,10.0,10.0,6.0,8.0,9.0,7.0,10.0,8.5
artefact-050,1,9.0,10.0,10.0,9.0,8.0,8.0,6.0,9.0,10.0,9.0,10.0,8.9
artefact-050,2,9.0,10.0,9.0,9.0,8.0,9.0,5.0,7.0,9.0,8.0,10.0,8.5
artefact-050,3,9.0,10.0,10.0,10.0,8.0,9.0,6.0,8.0,10.0,9.0,10.0,9.0
artefact-051,1,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.2
artefact-051,2,9.0,10.0,10.0,9.0,8.0,6.0,10.0,9.0,10.0,9.0,7.0,8.8
artefact-051,3,9.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,6.0,9.2
artefact-052,1,8.0,9.0,8.0,9.0,9.0,10.0,5.0,9.0,9.0,7.0,7.0,8.2
artefact-052,2,9.0,9.0,9.0,5.0,7.0,9.0,5.0,8.0,9.0,4.0,6.0,7.3
artefact-052,3,9.0,10.0,9.0,9.0,9.0,9.0,5.0,9.0,10.0,8.0,7.0,8.5
artefact-053,1,9.0,9.0,6.0,7.0,8.0,6.0,6.0,7.0,8.0,7.0,9.0,7.45
artefact-053,2,9.0,10.0,6.0,9.0,10.0,6.0,6.0,8.0,9.0,6.0,10.0,8.1
artefact-053,3,9.0,9.0,7.0,9.0,10.0,7.0,6.0,9.0,9.0,4.0,10.0,8.1
artefact-054,1,9.0,10.0,10.0,9.0,8.0,6.0,10.0,8.0,9.0,10.0,7.0,8.7
artefact-054,2,10.0,10.0,10.0,9.0,7.0,7.0,10.0,7.0,9.0,10.0,6.0,8.6
artefact-054,3,10.0,10.0,10.0,9.0,8.0,6.0,10.0,9.0,10.0,10.0,6.0,8.9
artefact-055,1,9.0,10.0,10.0,8.0,7.0,8.0,5.0,9.0,10.0,8.0,6.0,8.18
artefact-055,2,9.0,10.0,10.0,9.0,7.0,7.0,5.0,9.0,10.0,9.0,7.0,8.4
artefact-055,3,9.0,10.0,10.0,9.0,9.0,7.0,5.0,9.0,10.0,9.0,8.0,8.6
artefact-056,1,9.0,10.0,9.0,9.0,8.0,10.0,6.0,8.0,9.0,9.0,10.0,8.8
artefact-056,2,9.0,10.0,9.0,9.0,9.0,8.0,6.0,9.0,9.0,7.0,10.0,8.6
artefact-056,3,9.0,10.0,9.0,8.0,9.0,10.0,6.0,9.0,9.0,6.0,10.0,8.6
artefact-057,1,8.0,9.0,7.0,9.0,8.0,7.0,5.0,8.0,9.0,9.0,10.0,8.1
artefact-057,2,9.0,9.0,5.0,9.0,7.0,5.0,3.0,7.0,9.0,5.0,8.0,6.9
artefact-057,3,7.0,7.0,5.0,7.0,8.0,4.0,3.0,6.0,8.0,6.0,10.0,6.4
artefact-058,1,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.6
artefact-058,2,9.0,10.0,10.0,9.0,7.0,7.0,10.0,9.0,8.0,9.0,7.0,8.6
artefact-058,3,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,9.7
artefact-059,1,8.0,9.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,4.0,8.0,6.8
artefact-059,2,8.0,9.0,6.0,9.0,7.0,5.0,6.0,7.0,9.0,5.0,7.0,7.1
artefact-059,3,8.0,7.0,6.0,9.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,6.8
artefact-060,1,9.0,9.0,9.0,9.0,8.0,5.0,5.0,7.0,10.0,6.0,8.0,7.7
artefact-060,2,9.0,9.0,9.0,8.0,8.0,4.0,5.0,7.0,9.0,7.0,7.0,7.5
artefact-060,3,9.0,10.0,9.0,10.0,9.0,6.0,6.0,9.0,10.0,9.0,7.0,8.5
