artefact,reviewer,information_hierarchy,data_density,labeling_and_context,colour_and_encoding,layout_and_grouping,table_chart_readability,alert_threshold_visibility,completeness,overall
artefact-029,2,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.5
artefact-029,3,9.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,8.75
artefact-031,1,8.0,9.0,9.0,9.0,8.0,7.0,9.0,10.0,8.6
artefact-031,2,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.25
artefact-031,3,9.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,9.1
artefact-034,1,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,8.5
artefact-034,2,9.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0
artefact-034,3,9.0,9.0,9.0,8.0,9.0,7.0,9.0,6.0,8.25
artefact-035,1,9.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,8.4
artefact-035,2,7.0,9.0,6.0,9.0,8.0,8.0,9.0,5.0,7.6
artefact-035,3,8.0,9.0,7.0,8.0,9.0,8.0,9.0,6.0,8.0
artefact-036,1,5.0,9.0,6.0,7.0,9.0,8.0,9.0,10.0,7.9
artefact-036,2,8.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,8.6
artefact-036,3,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.9
artefact-039,1,9.0,9.0,7.0,10.0,9.0,9.0,10.0,6.0,8.6
artefact-039,2,8.0,9.0,6.0,9.0,9.0,7.0,10.0,4.0,7.75
artefact-039,3,8.0,9.0,7.0,9.0,8.0,7.0,10.0,6.0,8.0
artefact-043,1,9.0,9.0,9.0,9.0,7.0,7.0,10.0,8.0,8.5
artefact-043,2,9.0,9.0,5.0,7.0,6.0,8.0,9.0,10.0,7.9
artefact-043,3,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.25
artefact-048,1,7.0,9.0,7.0,9.0,8.0,7.0,10.0,10.0,8.4
artefact-048,2,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.9
artefact-048,3,7.0,9.0,6.0,8.0,9.0,6.0,9.0,10.0,8.0
artefact-051,1,7.0,9.0,6.0,9.0,8.0,8.0,9.0,5.0,7.6
artefact-051,2,8.0,9.0,8.0,8.0,9.0,8.0,9.0,5.0,8.0
artefact-051,3,8.0,9.0,9.0,9.0,9.0,8.0,9.0,5.0,8.25
artefact-055,1,8.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,8.6
artefact-055,2,9.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0,8.25
artefact-055,3,9.0,9.0,8.0,6.0,8.0,8.0,9.0,7.0,8.0
