artefact,reviewer,data_ink_ratio,chartjunk_absence,chart_type_appropriateness,alert_by_exception,var_risk_metrics,greeks_sensitivity,message_driven_structure,labelling_economy,data_formatting,semantic_colour,completeness,overall
artefact-009,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.2
artefact-010,1,8.0,9.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,9.0,7.7
artefact-010,2,8.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,8.0,8.0,9.0,7.8
artefact-010,3,8.0,9.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,9.0,7.7
artefact-011,1,5.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,9.0,6.7
artefact-011,2,5.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,9.0,6.7
artefact-011,3,5.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,9.0,6.7
artefact-012,1,8.0,9.0,8.0,8.0,7.0,7.0,5.0,7.0,8.0,8.0,9.0,7.6
artefact-012,2,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,7.7
artefact-012,3,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,7.7
artefact-013,1,8.0,9.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,8.2
artefact-013,2,8.0,9.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,8.2
artefact-013,3,8.0,9.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,8.2
artefact-014,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,8.2
artefact-014,2,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,8.3
artefact-014,3,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,8.3
artefact-015,1,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-015,2,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-015,3,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-016,1,9.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-016,2,9.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-016,3,9.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-017,1,5.0,5.0,6.0,7.0,8.0,6.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-017,2,5.0,5.0,6.0,7.0,8.0,6.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-017,3,5.0,5.0,6.0,7.0,8.0,6.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-018,1,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.1
artefact-018,2,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.1
artefact-018,3,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.1
artefact-019,1,5.0,5.0,6.0,8.0,9.0,8.0,5.0,7.0,8.0,7.0,9.0,7.0
artefact-019,2,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,8.0,6.0,9.0,6.6
artefact-019,3,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,8.0,6.0,9.0,6.6
artefact-020,1,8.0,9.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.3
artefact-020,2,8.0,9.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,9.0,7.2
artefact-020,3,8.0,9.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,9.0,7.2
artefact-021,1,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-021,2,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-021,3,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-022,1,5.0,5.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,9.0,6.4
artefact-022,2,5.0,5.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,9.0,6.4
artefact-022,3,5.0,5.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,9.0,6.4
artefact-023,1,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.5
artefact-023,2,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.5
artefact-023,3,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.5
artefact-024,1,8.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.9
artefact-024,2,8.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.9
artefact-024,3,8.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.9
artefact-025,1,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-025,2,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-025,3,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-026,1,8.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-026,2,8.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-026,3,8.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-027,1,5.0,5.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,6.0,9.0,6.9
artefact-027,2,5.0,5.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,6.0,9.0,6.9
artefact-027,3,5.0,5.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,6.0,9.0,6.9
artefact-028,1,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-028,2,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-028,3,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-029,1,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.6
artefact-029,2,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.5
artefact-029,3,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-030,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-030,2,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-030,3,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.3
artefact-031,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-031,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-031,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-032,1,6.0,6.0,7.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.8
artefact-032,2,6.0,6.0,7.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,9.0,6.9
artefact-032,3,6.0,6.0,7.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.8
artefact-033,1,8.0,9.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,7.0,9.0,7.5
artefact-033,2,8.0,9.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,7.0,9.0,7.5
artefact-033,3,8.0,9.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,7.0,9.0,7.5
artefact-034,1,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-034,2,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-034,3,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.4
artefact-035,1,5.0,5.0,6.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,9.0,6.5
artefact-035,2,5.0,5.0,6.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,9.0,6.5
artefact-035,3,5.0,5.0,6.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,9.0,6.5
artefact-036,1,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-036,2,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-036,3,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-037,1,5.0,5.0,6.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,9.0,6.7
artefact-037,2,5.0,5.0,6.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,9.0,6.7
artefact-037,3,5.0,5.0,6.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,9.0,6.7
artefact-038,1,8.0,9.0,8.0,8.0,7.0,6.0,6.0,7.0,8.0,8.0,9.0,7.6
artefact-038,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-038,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-039,1,9.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,8.6
artefact-039,2,9.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,8.6
artefact-039,3,9.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,8.6
artefact-040,1,6.0,7.0,7.0,8.0,9.0,8.0,6.0,7.0,8.0,7.0,9.0,7.5
artefact-040,2,6.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,9.0,7.3
artefact-040,3,6.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,9.0,7.3
artefact-041,1,9.0,9.0,8.0,8.0,9.0,8.0,5.0,8.0,9.0,8.0,9.0,8.2
artefact-041,2,9.0,9.0,8.0,8.0,9.0,8.0,5.0,8.0,9.0,8.0,9.0,8.2
artefact-041,3,9.0,9.0,8.0,8.0,9.0,8.0,5.0,8.0,9.0,8.0,9.0,8.2
artefact-042,1,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-042,2,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-042,3,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-043,1,5.0,5.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,6.0,9.0,7.0
artefact-043,2,6.0,5.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,7.0,9.0,7.2
artefact-043,3,6.0,5.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,7.0,9.0,7.2
artefact-044,1,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-044,2,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-044,3,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-045,1,8.0,9.0,8.0,8.0,8.0,6.0,5.0,7.0,7.0,8.0,9.0,7.5
artefact-045,2,8.0,9.0,8.0,8.0,8.0,6.0,5.0,7.0,7.0,8.0,9.0,7.5
artefact-045,3,8.0,9.0,8.0,8.0,8.0,6.0,5.0,7.0,7.0,8.0,9.0,7.5
artefact-046,1,5.0,5.0,6.0,7.0,8.0,8.0,5.0,7.0,7.0,6.0,9.0,6.6
artefact-046,2,5.0,5.0,6.0,7.0,8.0,8.0,5.0,7.0,7.0,6.0,9.0,6.6
artefact-046,3,5.0,5.0,6.0,7.0,8.0,8.0,5.0,7.0,7.0,6.0,9.0,6.6
artefact-047,1,6.0,6.0,6.0,8.0,8.0,8.0,5.0,7.0,7.0,7.0,9.0,7.0
artefact-047,2,5.0,5.0,6.0,8.0,8.0,8.0,5.0,7.0,7.0,7.0,9.0,6.8
artefact-047,3,6.0,6.0,6.0,8.0,8.0,8.0,5.0,7.0,7.0,7.0,9.0,7.0
artefact-048,1,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-048,2,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,8.4
artefact-048,3,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,8.5
artefact-049,1,5.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,9.0,6.8
artefact-049,2,5.0,5.0,6.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,9.0,6.7
artefact-049,3,5.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,9.0,6.7
artefact-050,1,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-050,2,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-050,3,5.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,6.5
artefact-051,1,8.0,9.0,8.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0,9.0,7.1
artefact-051,2,8.0,9.0,8.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0,9.0,7.1
artefact-051,3,8.0,9.0,8.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0,9.0,7.1
artefact-052,1,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-052,2,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-052,3,8.0,9.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,7.4
artefact-053,1,5.0,5.0,6.0,8.0,8.0,7.0,5.0,6.0,6.0,6.0,9.0,6.5
artefact-053,2,5.0,5.0,6.0,8.0,8.0,7.0,5.0,6.0,6.0,6.0,9.0,6.5
artefact-053,3,5.0,5.0,6.0,8.0,8.0,7.0,5.0,6.0,6.0,6.0,9.0,6.5
artefact-054,1,9.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,10.0,8.2
artefact-054,2,8.0,9.0,8.0,7.0,8.0,8.0,5.0,7.0,8.0,7.0,9.0,7.6
artefact-054,3,9.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,10.0,8.2
artefact-055,1,9.0,9.0,8.0,7.0,7.0,5.0,5.0,8.0,8.0,7.0,9.0,7.5
artefact-055,2,9.0,9.0,8.0,7.0,7.0,5.0,5.0,8.0,8.0,7.0,9.0,7.5
artefact-055,3,8.0,9.0,8.0,7.0,7.0,5.0,5.0,7.0,8.0,7.0,9.0,7.3
artefact-056,1,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.9
artefact-056,2,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.9
artefact-056,3,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.9
artefact-057,1,9.0,9.0,9.0,8.0,8.0,6.0,6.0,8.0,9.0,8.0,9.0,8.1
artefact-057,2,9.0,9.0,9.0,8.0,8.0,6.0,6.0,8.0,9.0,8.0,9.0,8.1
artefact-057,3,9.0,9.0,9.0,8.0,8.0,6.0,6.0,8.0,9.0,8.0,9.0,8.1
artefact-058,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.4
artefact-058,2,9.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,8.5
artefact-058,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.2
artefact-059,1,8.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-059,2,8.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-059,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,8.1
artefact-060,1,5.0,5.0,5.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,9.0,6.4
artefact-060,2,5.0,5.0,6.0,8.0,8.0,8.0,5.0,6.0,7.0,6.0,9.0,6.6
artefact-060,3,5.0,5.0,5.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,9.0,6.4
